514	42810
31	274	19
94	282	11
82	320	36
33	228	31
2	173	30
16	132	48
204	508	38
178	182	31
127	244	16
1	456	9
371	436	7
420	440	25
340	486	31
143	190	30
27	503	22
290	390	3
102	270	29
57	438	4
419	453	11
75	81	47
87	304	3
150	424	47
60	86	27
70	265	8
89	152	37
5	202	26
377	457	23
64	425	12
2	503	3
87	210	44
86	245	6
172	186	25
222	237	23
3	38	14
199	291	43
309	405	16
394	406	44
3	454	7
182	492	20
155	157	37
160	510	34
158	470	19
138	149	29
256	420	15
404	492	48
178	236	30
40	310	19
89	210	50
252	453	49
17	244	42
300	356	18
303	333	8
1	14	3
12	349	29
142	143	2
4	134	31
44	121	37
80	275	45
13	95	12
364	486	47
196	291	6
274	315	7
42	270	26
64	367	42
200	462	45
61	512	48
135	340	6
168	365	9
181	316	42
25	95	25
69	102	32
126	401	8
12	114	50
277	473	27
398	504	48
27	305	23
65	192	50
147	204	26
93	280	10
136	279	26
263	282	13
59	461	11
9	159	31
166	252	41
84	404	37
327	333	33
275	428	40
40	184	49
299	482	4
119	297	9
32	502	10
263	507	32
141	496	10
98	359	16
207	267	45
91	428	46
185	336	5
61	485	44
126	218	37
272	378	38
228	335	42
81	86	46
201	407	16
163	390	35
48	339	29
202	229	22
186	452	11
201	264	19
12	108	12
195	305	20
191	221	4
58	404	47
157	407	4
346	394	25
21	334	10
250	295	20
275	511	38
57	120	25
72	495	1
87	397	5
42	440	44
275	384	20
7	157	1
422	495	26
453	453	14
305	333	43
85	121	11
110	451	8
107	345	27
83	502	18
433	462	43
63	367	42
327	413	35
350	473	27
471	508	17
61	129	10
67	277	47
166	416	29
74	178	19
342	421	45
145	494	34
328	449	16
358	513	11
82	257	21
477	480	42
124	462	27
361	436	39
380	403	24
240	309	9
289	376	11
155	228	25
228	316	29
207	449	18
394	490	13
173	451	39
33	332	49
8	135	13
455	478	25
291	398	31
20	39	37
5	476	8
376	511	50
69	229	25
53	66	26
52	509	1
160	180	35
87	470	22
28	328	8
40	85	35
195	268	28
161	190	15
325	467	6
377	415	24
98	194	19
287	438	10
250	257	18
290	314	17
341	448	24
157	435	45
81	482	22
33	501	11
190	304	35
387	419	32
49	305	31
423	423	21
58	317	17
25	408	47
146	427	11
194	296	16
169	374	19
64	294	23
5	146	33
86	207	49
205	210	3
107	432	26
172	416	50
89	409	28
145	216	47
61	394	12
253	458	7
167	278	9
102	261	12
106	225	50
35	460	22
249	438	37
352	472	25
236	463	41
89	411	31
407	503	45
425	435	19
276	316	14
2	112	27
338	340	35
388	483	30
427	477	46
9	13	43
140	479	46
8	357	32
371	513	32
254	297	15
368	388	25
159	501	15
337	511	9
39	310	11
221	314	35
92	495	13
224	501	33
257	376	16
322	506	19
42	67	37
146	379	31
295	367	22
119	514	50
457	466	9
413	466	18
217	257	46
497	501	46
161	472	39
224	241	13
37	193	27
46	409	31
159	267	17
291	401	33
210	345	21
54	377	47
7	80	38
79	143	49
78	144	20
248	305	25
393	393	26
65	453	24
300	481	37
58	207	8
317	455	21
374	479	11
463	504	21
263	478	45
230	295	5
385	503	1
57	455	44
116	456	50
55	485	40
441	476	41
155	280	9
121	292	22
3	139	22
284	510	30
276	338	17
255	310	43
234	474	20
10	185	44
239	511	11
82	390	11
21	343	48
280	412	10
367	402	22
84	301	6
48	507	26
337	477	20
152	180	31
187	263	22
84	401	47
143	447	47
110	118	43
236	316	20
52	73	50
299	460	42
81	99	22
32	327	42
18	46	29
423	503	48
32	164	14
244	486	24
20	225	25
239	440	2
263	289	39
152	173	49
275	354	26
65	158	6
502	504	18
179	260	47
316	336	35
184	224	45
143	391	40
159	316	8
118	505	11
62	467	20
376	450	25
38	182	44
370	433	32
291	506	4
222	412	15
151	424	45
33	334	10
56	280	1
46	153	25
151	262	6
99	120	27
116	416	37
203	268	9
122	340	45
74	344	50
58	408	11
102	139	35
25	428	24
79	233	8
403	471	18
70	395	34
401	497	2
118	480	38
202	447	15
169	356	12
151	325	3
241	440	28
282	323	49
15	264	37
394	463	41
204	237	25
57	219	22
12	52	28
62	400	13
160	346	46
439	480	24
170	418	29
102	254	21
117	374	30
72	500	25
8	218	17
19	480	13
155	464	15
37	248	20
102	345	31
346	370	18
126	369	40
336	361	4
321	453	49
53	261	28
29	192	28
373	409	26
183	446	30
294	469	20
66	195	33
38	434	38
67	174	5
50	243	1
109	123	45
33	43	44
316	398	8
209	496	2
295	497	16
39	42	29
144	245	32
76	142	48
183	302	1
71	237	23
142	203	24
405	489	24
260	354	32
274	484	39
228	485	44
43	242	23
9	145	25
214	464	14
