1000 83030
1 347 24
1 776 5
1 645 11
1 719 19
1 614 27
1 864 32
1 407 13
1 26 15
1 30 27
1 946 22
1 706 46
1 650 49
1 400 17
1 514 17
1 402 36
1 505 32
1 732 26
1 418 45
1 228 12
1 83 25
1 513 3
1 941 36
1 832 4
1 527 5
1 366 48
1 328 43
1 680 37
1 154 36
1 266 30
1 623 14
1 387 38
1 117 30
1 96 2
1 890 36
1 286 26
1 790 29
1 484 33
1 345 16
1 952 8
1 477 13
1 321 34
1 887 14
1 643 22
1 521 15
1 73 16
1 349 41
1 516 39
1 221 47
1 3 9
1 480 41
1 281 20
1 792 8
1 808 32
1 99 33
1 930 33
1 698 2
1 2 50
1 810 29
1 816 10
1 298 3
1 410 23
1 993 29
1 140 26
1 877 1
1 211 22
1 222 8
1 283 41
1 695 50
1 179 44
1 829 30
1 394 6
1 20 13
1 663 45
1 72 22
1 79 43
1 416 48
1 611 43
1 621 4
1 123 45
1 429 28
1 264 3
1 741 19
1 844 31
1 986 8
1 597 27
1 169 34
1 109 6
1 216 44
1 293 9
1 564 5
1 685 29
1 296 1
1 580 12
1 625 48
1 847 47
1 999 8
2 319 28
2 412 28
2 223 2
2 43 9
2 775 14
2 562 17
2 440 43
2 668 6
2 143 7
2 498 46
2 715 34
2 379 14
2 305 43
2 232 34
2 110 11
2 172 35
2 695 26
2 181 9
2 142 5
2 73 27
2 145 9
2 345 41
2 626 29
2 522 16
2 973 44
2 948 47
2 459 34
2 778 40
2 958 9
2 757 27
2 169 15
2 416 13
2 874 20
2 205 40
2 922 23
2 425 27
2 365 4
2 683 36
2 534 24
2 822 11
2 406 43
2 260 17
2 163 47
2 264 9
2 68 15
2 18 9
2 198 18
2 91 34
2 829 1
2 930 7
2 137 30
2 97 32
2 872 17
2 119 28
2 608 27
2 333 2
2 618 31
2 985 3
2 619 17
2 5 20
2 108 30
2 131 25
2 644 20
2 908 21
2 390 28
2 439 12
2 592 15
2 442 21
2 381 1
2 818 19
2 250 40
2 820 27
2 458 1
2 105 44
2 553 3
2 656 22
2 628 27
2 536 11
2 48 14
2 901 4
2 450 49
2 976 44
2 404 11
2 955 22
2 760 43
2 738 38
2 980 28
2 549 12
2 318 11
2 500 3
2 719 40
2 661 26
2 787 32
2 313 12
2 63 38
2 639 35
3 115 30
3 887 7
3 339 21
3 314 30
3 977 26
3 614 29
3 250 2
3 819 49
3 917 20
3 299 20
3 583 28
3 48 35
3 686 50
3 39 16
3 574 37
3 483 43
3 92 42
3 899 37
3 542 7
3 182 8
3 365 7
3 878 13
3 292 38
3 768 8
3 279 29
3 335 47
3 831 48
3 206 44
3 934 21
3 300 23
3 690 44
3 727 46
3 784 16
3 694 8
3 894 19
3 638 14
3 219 46
3 426 47
3 775 14
3 866 37
3 74 9
3 203 32
3 410 41
3 683 32
3 165 43
3 244 23
3 482 22
3 306 45
3 27 7
3 249 46
3 928 45
3 176 41
3 81 21
3 353 36
3 455 28
3 305 44
3 647 39
3 791 1
3 520 10
3 739 3
3 605 2
3 114 35
3 84 20
3 239 45
3 383 41
3 833 42
3 493 15
3 163 22
3 31 12
3 982 38
3 283 14
3 729 43
3 435 3
3 551 50
3 932 45
3 263 32
3 421 26
3 473 7
3 586 15
3 462 38
3 381 13
3 594 23
3 414 19
3 360 33
3 272 18
3 310 4
3 369 24
3 523 33
3 15 34
3 442 24
3 875 40
3 761 50
3 23 23
3 382 1
3 667 22
4 159 5
4 896 17
4 273 20
4 663 39
4 960 11
4 566 43
4 432 39
4 20 37
4 651 14
4 485 27
4 244 47
4 718 38
4 307 23
4 613 17
4 353 31
4 209 45
4 502 10
4 989 13
4 945 45
4 916 11
4 807 29
4 448 19
4 902 20
4 194 7
4 271 50
4 654 17
4 631 22
4 225 38
4 208 18
4 154 37
4 862 14
4 789 37
4 53 17
4 283 24
4 534 47
4 200 7
4 767 34
4 882 10
4 720 20
4 498 18
4 321 23
4 879 31
4 543 20
4 881 1
4 382 11
4 470 10
4 67 43
4 35 31
4 285 39
4 202 10
4 52 5
4 46 12
4 178 18
4 800 25
4 840 5
4 771 29
4 405 30
4 182 19
4 180 39
4 749 30
4 953 4
4 843 23
4 395 33
4 557 32
4 86 31
4 399 13
4 166 8
4 27 25
4 287 26
4 297 35
4 637 23
4 722 14
4 671 14
4 968 43
4 768 22
4 451 47
4 661 22
4 587 3
4 477 44
4 803 26
4 930 18
4 899 21
4 56 43
4 407 22
4 87 46
4 179 27
4 165 32
4 438 49
4 110 44
4 585 1
4 78 9
4 138 4
4 239 33
5 724 24
5 687 48
5 331 28
5 620 2
5 731 16
5 61 25
5 298 25
5 493 18
5 368 11
5 281 18
5 686 22
5 16 2
5 589 5
5 854 11
5 541 41
5 634 24
5 222 22
5 502 42
5 559 4
5 554 45
5 519 32
5 115 42
5 118 4
5 1000 1
5 36 38
5 11 13
5 808 48
5 286 19
5 530 2
5 762 1
5 261 39
5 799 26
5 725 37
5 116 26
5 431 28
5 53 4
5 469 27
5 247 15
5 787 46
5 363 49
5 85 16
5 680 46
5 94 4
5 474 15
5 351 32
5 732 36
5 424 18
5 418 12
5 304 29
5 772 40
5 573 23
5 413 23
5 610 12
5 492 17
5 940 3
5 221 8
5 382 30
5 948 19
5 496 28
5 656 3
5 665 42
5 395 37
5 35 36
5 933 5
5 372 15
5 369 7
5 794 23
5 73 40
5 881 32
5 360 28
5 999 34
5 723 27
5 106 3
5 528 38
5 189 47
5 669 32
5 253 22
5 793 35
5 733 29
5 412 29
5 548 48
5 202 38
5 135 17
5 108 24
5 804 28
5 275 16
5 99 49
5 47 33
5 81 50
5 755 13
5 139 49
6 601 17
6 444 34
6 166 49
6 91 35
6 35 26
6 924 43
6 917 24
6 58 41
6 332 43
6 156 31
6 534 50
6 388 43
6 551 10
6 76 9
6 787 17
6 441 14
6 568 31
6 704 29
6 8 26
6 522 4
6 203 33
6 98 22
6 390 6
6 124 37
6 105 40
6 821 10
6 727 30
6 460 25
6 354 42
6 935 9
6 785 22
6 585 10
6 572 35
6 780 34
6 380 2
6 176 50
6 719 14
6 325 38
6 404 47
6 870 17
6 832 14
6 933 31
6 389 27
6 243 47
6 573 29
6 658 47
6 303 17
6 224 24
6 550 12
6 139 32
6 273 14
6 758 23
6 69 4
6 473 15
6 968 29
6 701 20
6 960 37
6 417 9
6 89 8
6 129 3
6 394 27
6 75 14
6 512 42
6 771 30
6 114 50
6 521 46
6 713 20
6 987 1
6 946 44
6 733 3
6 138 5
6 271 11
6 626 24
6 270 3
6 948 16
6 442 32
6 648 39
6 125 13
6 591 40
6 777 19
6 991 10
6 694 11
6 54 43
6 181 21
6 904 36
6 865 19
6 642 17
6 331 10
6 336 44
6 469 10
6 433 50
6 613 22
6 820 8
6 192 46
6 377 20
7 106 46
7 832 18
7 247 18
7 738 44
7 171 49
7 697 17
7 182 47
7 914 14
7 951 6
7 522 3
7 336 36
7 629 21
7 253 32
7 211 49
7 538 8
