600 89701
111 291 43
111 12 42
111 70 47
111 561 41
111 469 47
111 18 42
111 294 45
111 165 47
111 351 48
111 559 45
111 323 43
111 362 40
111 3 42
111 568 47
111 282 49
111 401 47
111 376 46
111 596 45
111 117 40
111 590 40
111 330 46
111 421 45
111 579 47
111 364 41
111 193 50
111 552 44
111 560 41
111 105 40
111 214 47
111 353 46
111 428 42
111 544 50
111 586 49
111 397 47
111 115 41
111 530 43
111 414 47
111 202 44
111 281 40
111 67 44
111 228 49
111 407 41
111 575 43
111 260 49
111 177 49
111 107 41
111 1 43
111 329 44
111 271 44
111 592 43
111 166 42
111 164 50
111 44 47
111 392 49
111 203 40
111 50 44
111 106 40
111 150 40
111 319 44
111 388 47
111 390 46
111 142 45
111 409 45
111 487 44
111 355 50
111 9 44
111 34 46
111 558 47
111 386 48
111 26 46
111 486 49
111 197 44
111 580 45
111 83 41
111 435 40
111 543 43
111 359 41
111 256 41
111 288 48
111 24 45
111 572 42
111 490 48
111 20 43
111 127 49
111 45 47
111 121 41
111 132 43
111 333 45
111 449 41
111 239 45
111 265 42
111 455 48
111 600 50
111 158 47
111 556 50
111 226 50
111 438 49
111 444 45
111 180 46
111 537 46
111 476 49
111 181 44
111 488 48
111 340 44
111 493 44
111 396 48
111 492 45
111 546 45
111 114 47
111 93 40
111 49 48
111 62 49
111 507 49
111 191 40
111 68 46
111 485 45
111 440 42
111 591 47
111 515 50
111 504 41
111 545 41
111 75 50
111 338 47
111 562 41
111 459 44
111 481 47
111 335 40
111 420 42
111 310 50
111 302 44
111 126 46
111 408 47
111 497 46
111 188 43
111 51 49
111 369 50
111 569 49
111 245 43
111 171 42
111 119 45
111 458 44
111 182 40
111 480 44
111 402 42
111 495 49
111 100 50
111 237 45
111 241 49
111 148 46
111 234 42
111 173 40
111 267 45
111 533 42
111 211 47
111 162 46
111 157 44
111 179 41
111 222 44
111 79 47
111 86 50
111 136 46
111 550 40
111 357 46
111 398 42
111 578 44
111 277 44
111 577 50
111 415 42
111 15 47
111 23 40
111 30 46
111 35 49
111 499 49
111 251 48
111 37 40
111 321 47
111 554 47
111 196 45
111 383 46
111 521 40
111 236 46
111 347 44
111 477 45
111 218 48
111 336 49
111 122 50
111 95 50
111 279 40
111 273 43
111 208 44
111 464 50
111 151 50
111 433 45
111 532 43
111 209 50
111 71 49
111 85 45
111 585 47
111 7 49
111 501 41
111 10 47
111 61 42
111 176 40
111 431 45
111 129 50
111 130 49
111 466 40
111 460 46
111 290 42
111 526 46
111 27 44
111 462 48
111 280 50
111 246 50
111 479 43
111 404 48
111 46 49
111 360 42
111 328 46
111 394 50
111 374 47
111 305 43
111 84 47
111 161 41
111 199 44
111 104 44
111 594 48
