600 89701
1 2 50
1 3 41
1 4 40
1 5 46
1 6 48
1 7 43
1 8 42
1 9 40
1 10 49
1 11 44
1 12 46
1 13 46
1 14 50
1 15 45
1 16 48
1 17 47
1 18 41
1 19 45
1 20 49
1 21 44
1 22 46
1 23 47
1 24 41
1 25 41
1 26 44
1 27 49
1 28 41
1 29 45
1 30 45
1 31 40
1 32 48
1 33 45
1 34 40
1 35 40
1 36 46
1 37 49
1 38 48
1 39 48
1 40 47
1 41 42
1 42 47
1 43 40
1 44 49
1 45 41
1 46 50
1 47 47
1 48 44
1 49 47
1 50 47
1 51 48
1 52 46
1 53 44
1 54 48
1 55 40
1 56 40
1 57 41
1 58 46
1 59 42
1 60 44
1 61 45
1 62 41
1 63 48
1 64 45
1 65 48
1 66 50
1 67 47
1 68 47
1 69 48
1 70 48
1 71 42
1 72 42
1 73 49
1 74 43
1 75 45
1 76 44
1 77 43
1 78 42
1 79 41
1 80 45
1 81 41
1 82 42
1 83 40
1 84 45
1 85 44
1 86 49
1 87 47
1 88 46
1 89 47
1 90 41
1 91 50
1 92 45
1 93 43
1 94 48
1 95 40
1 96 49
1 97 41
1 98 44
1 99 41
1 100 42
1 101 44
1 102 40
1 103 41
1 104 40
1 105 42
1 106 44
1 107 49
1 108 49
1 109 42
1 110 44
1 111 41
1 112 44
1 113 40
1 114 48
1 115 40
1 116 41
1 117 43
1 118 42
1 119 48
1 120 43
1 121 48
1 122 40
1 123 40
1 124 45
1 125 40
1 126 40
1 127 40
1 128 46
1 129 45
1 130 40
1 131 47
1 132 43
1 133 46
1 134 42
1 135 42
1 136 49
1 137 48
1 138 50
1 139 46
1 140 41
1 141 49
1 142 43
1 143 42
1 144 41
1 145 42
1 146 46
1 147 41
1 148 44
1 149 40
1 150 50
1 151 50
1 152 48
1 153 44
1 154 42
1 155 43
1 156 46
1 157 48
1 158 49
1 159 47
1 160 44
1 161 50
1 162 41
1 163 43
1 164 49
1 165 44
1 166 41
1 167 47
1 168 48
1 169 47
1 170 45
1 171 50
1 172 42
1 173 45
1 174 44
1 175 49
1 176 44
1 177 41
1 178 48
1 179 47
1 180 40
1 181 45
1 182 50
1 183 41
1 184 50
1 185 42
1 186 44
1 187 40
1 188 42
1 189 46
1 190 48
1 191 42
1 192 46
1 193 45
1 194 46
1 195 42
1 196 48
1 197 45
1 198 44
1 199 41
1 200 42
1 201 47
1 202 44
1 203 40
1 204 42
1 205 47
1 206 42
1 207 42
1 208 49
1 209 41
1 210 50
1 211 41
1 212 44
1 213 46
1 214 42
1 215 46
1 216 46
1 217 44
1 218 43
1 219 44
1 220 42
1 221 46
1 222 44
1 223 50
1 224 40
1 225 41
1 226 44
1 227 47
1 228 44
1 229 46
1 230 44
1 231 49
1 232 48
1 233 44
1 234 49
1 235 41
1 236 43
1 237 48
1 238 47
1 239 41
1 240 45
1 241 42
1 242 46
1 243 47
1 244 46
1 245 42
1 246 44
1 247 48
1 248 42
1 249 43
1 250 41
1 251 47
1 252 47
1 253 45
1 254 43
1 255 42
1 256 46
1 257 49
1 258 40
1 259 43
1 260 50
1 261 46
1 262 46
1 263 44
1 264 45
1 265 41
1 266 41
1 267 47
1 268 45
1 269 49
1 270 50
1 271 43
1 272 48
1 273 46
1 274 48
1 275 47
1 276 41
1 277 44
1 278 48
1 279 44
1 280 40
1 281 46
1 282 44
1 283 43
1 284 45
1 285 46
1 286 42
1 287 40
1 288 46
1 289 40
1 290 48
1 291 40
1 292 49
1 293 46
1 294 46
1 295 40
1 296 41
1 297 40
1 298 48
1 299 41
1 300 42
2 3 45
2 4 43
2 5 40
2 6 47
2 7 45
2 8 48
2 9 41
2 10 50
2 11 43
2 12 48
2 13 40
2 14 47
2 15 43
2 16 50
2 17 49
2 18 49
2 19 46
2 20 44
2 21 41
2 22 50
2 23 47
2 24 41
2 25 44
2 26 50
2 27 40
2 28 42
2 29 41
2 30 44
2 31 50
2 32 46
2 33 50
2 34 49
2 35 48
2 36 47
2 37 50
2 38 44
2 39 46
2 40 50
2 41 44
2 42 41
2 43 40
2 44 41
2 45 46
2 46 43
2 47 46
2 48 43
2 49 46
2 50 40
2 51 42
2 52 44
2 53 44
2 54 42
2 55 48
2 56 49
2 57 43
2 58 45
2 59 43
2 60 40
2 61 42
2 62 46
2 63 49
2 64 45
2 65 46
2 66 47
2 67 45
2 68 42
2 69 45
2 70 42
2 71 46
2 72 43
2 73 49
2 74 48
2 75 50
2 76 49
2 77 48
2 78 46
2 79 50
2 80 40
2 81 46
2 82 44
2 83 49
2 84 48
2 85 44
2 86 48
2 87 43
2 88 50
2 89 46
2 90 40
2 91 47
2 92 43
2 93 47
2 94 43
2 95 45
2 96 48
2 97 45
2 98 50
2 99 47
2 100 42
2 101 48
2 102 41
2 103 45
2 104 49
2 105 49
2 106 45
2 107 47
2 108 47
2 109 44
2 110 45
2 111 50
2 112 50
2 113 49
2 114 43
2 115 45
2 116 40
2 117 41
2 118 45
2 119 44
2 120 42
2 121 50
2 122 43
2 123 50
2 124 43
2 125 45
2 126 46
2 127 40
2 128 46
2 129 43
2 130 41
2 131 41
2 132 42
2 133 40
2 134 43
2 135 40
2 136 40
2 137 43
2 138 50
2 139 44
2 140 42
2 141 47
2 142 46
2 143 47
2 144 43
2 145 45
2 146 46
2 147 46
2 148 41
2 149 46
2 150 44
2 151 45
2 152 50
2 153 44
2 154 44
2 155 43
2 156 44
2 157 40
2 158 44
2 159 44
2 160 42
2 161 43
2 162 40
2 163 48
2 164 40
2 165 49
2 166 43
2 167 41
2 168 49
2 169 46
2 170 41
2 171 42
2 172 40
2 173 50
2 174 50
2 175 45
2 176 49
2 177 50
2 178 43
2 179 40
2 180 41
2 181 50
2 182 49
2 183 49
2 184 46
2 185 47
2 186 42
2 187 46
2 188 48
2 189 42
2 190 43
2 191 47
2 192 42
2 193 44
2 194 46
2 195 47
2 196 47
2 197 49
2 198 48
2 199 40
2 200 45
2 201 43
2 202 41
2 203 44
2 204 46
2 205 44
2 206 41
2 207 45
2 208 46
2 209 48
2 210 49
2 211 43
2 212 47
2 213 47
2 214 50
2 215 43
2 216 46
2 217 48
2 218 45
2 219 40
2 220 47
2 221 46
2 222 46
2 223 48
2 224 43
2 225 40
2 226 49
2 227 48
2 228 45
2 229 41
2 230 50
2 231 45
2 232 49
2 233 50
2 234 45
2 235 49
2 236 44
2 237 46
2 238 48
2 239 41
2 240 44
2 241 42
2 242 47
2 243 42
2 244 43
2 245 48
2 246 47
2 247 46
2 248 44
2 249 40
2 250 41
2 251 48
2 252 41
2 253 49
2 254 48
2 255 41
2 256 48
2 257 50
2 258 42
2 259 46
2 260 43
2 261 45
2 262 43
2 263 40
2 264 47
2 265 45
2 266 45
2 267 49
2 268 45
2 269 42
2 270 43
2 271 44
2 272 49
2 273 44
2 274 41
2 275 46
2 276 43
2 277 50
2 278 42
2 279 41
2 280 45
2 281 49
2 282 40
2 283 43
2 284 49
2 285 47
2 286 49
2 287 46
2 288 41
2 289 49
2 290 45
2 291 47
2 292 50
2 293 47
2 294 45
2 295 41
2 296 40
2 297 42
2 298 42
2 299 41
2 300 42
3 4 50
3 5 49
3 6 48
3 7 40
3 8 48
3 9 40
3 10 49
3 11 42
3 12 46
3 13 41
3 14 43
3 15 49
3 16 47
3 17 45
3 18 46
3 19 41
3 20 42
3 21 50
3 22 50
3 23 40
3 24 45
3 25 42
3 26 46
3 27 42
3 28 41
3 29 49
3 30 40
3 31 48
3 32 40
3 33 48
3 34 46
3 35 47
3 36 41
3 37 44
3 38 41
3 39 42
3 40 50
3 41 46
3 42 40
3 43 48
3 44 49
3 45 48
3 46 42
3 47 42
3 48 47
3 49 43
3 50 47
3 51 46
3 52 41
3 53 41
3 54 46
3 55 43
3 56 46
3 57 43
3 58 49
3 59 48
3 60 46
3 61 45
3 62 45
3 63 41
3 64 43
3 65 46
3 66 47
3 67 42
3 68 41
3 69 44
3 70 44
3 71 45
3 72 48
3 73 40
3 74 49
3 75 48
3 76 40
3 77 41
3 78 46
3 79 49
3 80 45
3 81 42
3 82 42
3 83 47
3 84 45
3 85 49
3 86 48
3 87 42
3 88 48
3 89 43
3 90 43
3 91 41
3 92 50
3 93 41
3 94 45
3 95 44
3 96 48
3 97 49
3 98 43
3 99 42
3 100 45
3 101 40
3 102 46
3 103 46
3 104 42
3 105 47
3 106 46
3 107 41
3 108 49
3 109 47
3 110 50
3 111 49
3 112 45
3 113 43
3 114 48
3 115 50
3 116 47
3 117 40
3 118 42
3 119 42
3 120 50
3 121 46
3 122 50
3 123 44
3 124 46
3 125 44
3 126 43
3 127 41
3 128 40
3 129 45
3 130 46
3 131 50
3 132 49
3 133 43
3 134 41
3 135 41
3 136 50
3 137 47
3 138 42
3 139 42
3 140 47
3 141 45
3 142 50
3 143 47
3 144 49
3 145 46
3 146 48
3 147 45
3 148 43
3 149 48
3 150 41
3 151 43
3 152 50
3 153 43
3 154 43
3 155 44
3 156 46
3 157 40
3 158 48
3 159 43
3 160 41
3 161 49
3 162 41
3 163 48
3 164 50
3 165 43
3 166 45
3 167 43
3 168 49
3 169 47
3 170 48
3 171 48
3 172 41
3 173 45
3 174 48
3 175 48
3 176 41
3 177 46
3 178 46
3 179 48
3 180 49
3 181 49
3 182 44
3 183 40
3 184 40
3 185 46
3 186 42
3 187 40
3 188 42
3 189 40
3 190 49
3 191 42
3 192 47
3 193 50
3 194 50
3 195 41
3 196 41
3 197 49
3 198 41
3 199 41
3 200 47
3 201 50
3 202 43
3 203 49
3 204 47
3 205 45
3 206 50
3 207 42
3 208 46
3 209 47
3 210 50
3 211 47
3 212 50
3 213 45
3 214 40
3 215 46
3 216 44
3 217 47
3 218 47
3 219 45
3 220 40
3 221 43
3 222 42
3 223 43
3 224 44
3 225 43
3 226 45
3 227 43
3 228 49
3 229 41
3 230 49
3 231 50
3 232 41
3 233 41
3 234 47
3 235 46
3 236 50
3 237 50
3 238 44
3 239 42
3 240 44
3 241 50
3 242 40
3 243 48
3 244 46
3 245 48
3 246 48
3 247 48
3 248 43
3 249 44
3 250 48
3 251 46
3 252 49
3 253 46
3 254 42
3 255 49
3 256 46
3 257 48
3 258 50
3 259 45
3 260 49
3 261 47
3 262 41
3 263 47
3 264 46
3 265 42
3 266 42
3 267 45
3 268 49
3 269 50
3 270 46
3 271 41
3 272 49
3 273 46
3 274 47
3 275 48
3 276 41
3 277 44
3 278 42
3 279 42
3 280 40
3 281 41
3 282 49
3 283 47
3 284 48
3 285 45
3 286 42
3 287 43
3 288 47
3 289 45
3 290 44
3 291 44
3 292 48
3 293 45
3 294 40
3 295 48
3 296 48
3 297 42
3 298 47
3 299 46
3 300 49
4 5 42
4 6 45
4 7 49
4 8 50
4 9 43
4 10 42
4 11 44
4 12 46
4 13 48
4 14 46
4 15 41
4 16 46
4 17 47
4 18 40
4 19 42
4 20 47
4 21 42
4 22 44
4 23 48
4 24 48
4 25 41
4 26 47
4 27 49
4 28 47
4 29 47
4 30 44
4 31 40
4 32 47
4 33 46
4 34 48
4 35 42
4 36 40
4 37 45
4 38 40
4 39 46
4 40 45
4 41 46
4 42 46
4 43 47
4 44 42
4 45 41
4 46 44
4 47 44
4 48 42
4 49 44
4 50 42
4 51 40
4 52 48
4 53 43
4 54 43
4 55 42
4 56 41
4 57 42
4 58 40
4 59 49
4 60 40
4 61 45
4 62 48
4 63 49
4 64 40
4 65 40
4 66 40
4 67 50
4 68 45
4 69 41
4 70 47
4 71 40
4 72 49
4 73 45
4 74 41
4 75 47
4 76 43
4 77 46
4 78 40
4 79 42
4 80 50
4 81 48
4 82 48
4 83 41
4 84 40
4 85 43
4 86 47
4 87 45
4 88 43
4 89 46
4 90 45
