966 965
1 656 28
2 383 22
3 745 22
4 152 11
5 452 29
6 271 24
7 595 34
8 464 46
9 84 45
10 470 36
11 265 11
12 249 16
13 71 17
14 260 19
15 795 22
16 929 9
17 638 50
18 231 29
19 612 34
20 688 8
21 590 22
22 720 8
23 289 28
24 689 46
25 433 5
26 417 16
27 533 24
28 654 26
29 416 31
30 266 1
31 318 19
32 580 28
33 110 1
34 327 49
35 271 1
36 351 28
37 891 27
38 904 41
39 458 21
40 900 15
41 913 24
42 565 25
43 318 8
44 619 50
45 348 21
46 246 15
47 92 16
48 426 9
49 594 26
50 918 45
51 115 14
52 795 39
53 61 29
54 238 36
55 149 41
56 933 47
57 502 42
58 319 3
59 359 11
60 399 6
61 252 14
62 729 25
63 124 32
64 448 11
65 783 27
66 191 23
67 733 50
68 231 25
69 879 41
70 295 1
71 724 35
72 781 40
73 116 25
74 858 25
75 434 50
76 285 11
77 768 26
78 441 32
79 766 21
80 215 41
81 739 35
82 463 2
83 763 26
84 737 11
85 634 10
86 839 29
87 722 15
88 440 4
89 847 50
90 274 28
91 930 21
92 310 48
93 277 1
94 959 44
95 958 18
96 183 1
97 153 5
98 411 4
99 202 11
100 706 19
101 580 44
102 321 16
103 411 2
104 733 29
105 668 15
106 543 40
107 142 1
108 910 47
109 838 40
110 686 8
111 940 43
112 418 28
113 267 18
114 378 33
115 545 14
116 136 32
117 644 49
118 491 35
119 347 46
120 223 14
121 693 23
122 853 45
123 491 40
124 695 43
125 921 30
126 888 40
127 813 19
128 390 40
129 633 33
130 720 31
131 705 22
132 560 43
133 302 6
134 390 18
135 831 21
136 830 21
137 228 25
138 331 33
139 566 43
140 346 32
141 156 9
142 881 37
143 424 4
144 747 45
145 677 8
146 224 42
147 915 50
148 486 30
149 559 37
150 548 48
151 415 2
152 395 27
153 213 28
154 445 12
155 252 15
156 180 36
157 686 49
158 276 5
159 765 35
160 190 5
161 427 48
162 600 46
163 479 18
164 211 29
165 866 1
166 239 43
167 238 5
168 223 25
169 446 15
170 883 1
171 261 9
172 854 49
173 858 3
174 268 29
175 423 19
176 477 32
177 628 18
178 781 31
179 734 33
180 641 34
181 585 31
182 739 23
183 791 41
184 231 36
185 921 25
186 517 1
187 612 36
188 467 31
189 588 7
190 557 50
191 906 41
192 456 48
193 493 41
194 485 34
195 674 19
196 920 37
197 507 10
198 562 12
199 821 4
200 265 21
201 928 5
202 799 8
203 889 50
204 810 18
205 530 42
206 624 17
207 551 38
208 394 39
209 464 26
210 504 27
211 811 26
212 877 34
213 303 5
214 719 20
215 741 5
216 702 50
217 253 21
218 255 39
219 947 24
220 727 18
221 518 46
222 725 9
223 420 45
224 500 7
225 427 34
226 316 8
227 682 4
228 762 31
229 724 42
230 687 38
231 529 24
232 698 46
233 431 12
234 921 36
235 939 30
236 620 44
237 500 27
238 787 26
239 900 11
240 343 26
241 606 20
242 927 5
243 676 33
244 938 5
