1000 999
1 1000 39
2 1000 8
3 1000 19
4 1000 13
5 1000 31
6 1000 7
7 1000 28
8 1000 26
9 1000 4
10 1000 46
11 1000 46
12 1000 12
13 1000 43
14 1000 4
15 1000 6
16 1000 12
17 1000 8
18 1000 36
19 1000 18
20 1000 46
21 1000 46
22 1000 13
23 1000 34
24 1000 27
25 1000 48
26 1000 31
27 1000 22
28 1000 38
29 1000 16
30 1000 6
31 1000 2
32 1000 5
33 1000 10
34 1000 27
35 1000 9
36 1000 15
37 1000 48
38 1000 37
39 1000 35
40 1000 25
41 1000 32
42 1000 15
43 1000 33
44 1000 22
45 1000 36
46 1000 13
47 1000 19
48 1000 16
49 1000 47
50 1000 45
51 1000 21
52 1000 33
53 1000 32
54 1000 46
55 1000 29
56 1000 11
57 1000 24
58 1000 25
59 1000 18
60 1000 16
61 1000 39
62 1000 47
63 1000 20
64 1000 45
65 1000 7
66 1000 49
67 1000 23
68 1000 31
69 1000 45
70 1000 13
71 1000 46
72 1000 18
73 1000 46
74 1000 37
75 1000 35
76 1000 22
77 1000 42
78 1000 32
79 1000 42
80 1000 29
81 1000 13
82 1000 13
83 1000 30
84 1000 41
85 1000 33
86 1000 15
87 1000 8
88 1000 42
89 1000 25
90 1000 9
91 1000 4
92 1000 29
93 1000 12
94 1000 43
95 1000 33
96 1000 15
97 1000 2
98 1000 41
99 1000 29
100 1000 29
101 1000 39
102 1000 48
103 1000 28
104 1000 23
105 1000 23
106 1000 22
107 1000 25
108 1000 42
109 1000 48
110 1000 7
111 1000 10
112 1000 48
113 1000 25
114 1000 32
115 1000 6
116 1000 41
117 1000 3
118 1000 38
119 1000 7
120 1000 30
121 1000 38
122 1000 16
123 1000 49
124 1000 29
125 1000 24
126 1000 23
127 1000 47
128 1000 18
129 1000 17
130 1000 26
131 1000 22
132 1000 1
133 1000 46
134 1000 20
135 1000 43
136 1000 48
137 1000 19
138 1000 8
139 1000 39
140 1000 44
141 1000 4
142 1000 39
143 1000 25
144 1000 22
145 1000 36
146 1000 25
147 1000 12
148 1000 5
149 1000 33
150 1000 42
151 1000 26
152 1000 32
153 1000 31
154 1000 34
155 1000 31
156 1000 2
157 1000 7
158 1000 25
159 1000 26
160 1000 10
161 1000 8
162 1000 32
163 1000 35
164 1000 29
165 1000 6
166 1000 18
167 1000 25
168 1000 32
169 1000 48
170 1000 43
171 1000 17
172 1000 11
173 1000 30
174 1000 2
175 1000 36
176 1000 14
177 1000 13
178 1000 46
179 1000 27
180 1000 20
181 1000 11
182 1000 25
183 1000 6
184 1000 26
185 1000 48
186 1000 25
187 1000 12
188 1000 4
189 1000 10
190 1000 14
191 1000 15
192 1000 49
193 1000 40
194 1000 19
195 1000 1
196 1000 24
197 1000 5
198 1000 28
199 1000 26
200 1000 37
201 1000 1
202 1000 3
203 1000 9
204 1000 48
205 1000 20
206 1000 18
207 1000 48
208 1000 15
209 1000 15
210 1000 3
211 1000 29
212 1000 38
213 1000 46
214 1000 10
215 1000 12
216 1000 2
217 1000 14
218 1000 36
219 1000 6
220 1000 36
221 1000 45
222 1000 14
223 1000 30
224 1000 49
225 1000 28
226 1000 13
227 1000 18
228 1000 12
229 1000 40
230 1000 31
231 1000 30
232 1000 20
233 1000 22
234 1000 33
235 1000 5
236 1000 33
237 1000 30
238 1000 22
239 1000 14
240 1000 8
241 1000 43
242 1000 13
243 1000 21
244 1000 42
245 1000 1
246 1000 42
247 1000 34
248 1000 16
249 1000 44
250 1000 17
251 1000 30
252 1000 16
253 1000 25
254 1000 28
255 1000 45
256 1000 48
257 1000 24
258 1000 49
259 1000 22
260 1000 21
261 1000 10
262 1000 11
263 1000 18
264 1000 36
265 1000 24
266 1000 7
267 1000 45
268 1000 49
269 1000 49
270 1000 49
271 1000 27
272 1000 2
273 1000 5
274 1000 43
275 1000 47
276 1000 36
277 1000 42
278 1000 11
279 1000 7
280 1000 38
281 1000 35
282 1000 49
283 1000 37
284 1000 46
285 1000 6
286 1000 15
287 1000 28
288 1000 14
289 1000 49
290 1000 6
291 1000 27
292 1000 8
293 1000 29
294 1000 20
295 1000 27
296 1000 23
297 1000 48
298 1000 34
299 1000 37
300 1000 42
301 1000 7
302 1000 8
303 1000 30
304 1000 22
305 1000 19
306 1000 2
307 1000 15
308 1000 35
309 1000 2
310 1000 45
311 1000 20
312 1000 45
313 1000 12
314 1000 34
315 1000 21
316 1000 37
317 1000 44
318 1000 17
319 1000 41
320 1000 16
321 1000 27
322 1000 2
323 1000 19
324 1000 30
325 1000 18
326 1000 30
327 1000 38
328 1000 4
329 1000 28
330 1000 37
331 1000 48
332 1000 15
333 1000 23
334 1000 9
335 1000 44
336 1000 21
337 1000 14
338 1000 28
339 1000 44
340 1000 23
341 1000 20
342 1000 45
343 1000 22
344 1000 23
345 1000 41
346 1000 28
347 1000 39
348 1000 12
349 1000 21
350 1000 30
351 1000 31
352 1000 2
353 1000 36
354 1000 12
355 1000 28
356 1000 27
357 1000 14
358 1000 44
359 1000 42
360 1000 44
361 1000 40
362 1000 25
363 1000 23
364 1000 31
365 1000 23
366 1000 34
367 1000 2
368 1000 17
369 1000 34
370 1000 2
371 1000 6
372 1000 8
373 1000 48
374 1000 5
375 1000 43
376 1000 17
377 1000 6
378 1000 16
379 1000 37
380 1000 9
381 1000 24
382 1000 30
383 1000 1
384 1000 47
385 1000 11
386 1000 47
387 1000 7
388 1000 35
389 1000 31
390 1000 22
391 1000 23
392 1000 14
393 1000 24
394 1000 44
395 1000 32
396 1000 34
397 1000 49
398 1000 19
399 1000 40
400 1000 18
401 1000 13
402 1000 27
403 1000 36
404 1000 41
405 1000 11
406 1000 9
407 1000 48
408 1000 19
409 1000 43
410 1000 42
411 1000 21
412 1000 31
413 1000 5
414 1000 1
415 1000 10
416 1000 43
417 1000 48
418 1000 18
419 1000 9
420 1000 12
421 1000 29
422 1000 24
423 1000 47
424 1000 33
425 1000 15
426 1000 26
427 1000 49
428 1000 8
429 1000 35
430 1000 42
431 1000 17
432 1000 9
433 1000 17
434 1000 20
435 1000 10
436 1000 14
437 1000 42
438 1000 13
439 1000 31
440 1000 27
441 1000 46
442 1000 43
443 1000 5
444 1000 1
445 1000 36
446 1000 43
447 1000 26
448 1000 9
449 1000 19
450 1000 32
451 1000 4
452 1000 12
453 1000 7
454 1000 23
455 1000 3
456 1000 1
457 1000 13
458 1000 30
459 1000 33
460 1000 39
461 1000 45
462 1000 3
463 1000 33
464 1000 4
465 1000 25
466 1000 46
467 1000 38
468 1000 43
469 1000 39
470 1000 15
471 1000 10
472 1000 42
473 1000 25
474 1000 35
475 1000 11
476 1000 49
477 1000 42
478 1000 3
479 1000 27
480 1000 26
481 1000 16
482 1000 37
483 1000 23
484 1000 49
485 1000 19
486 1000 8
487 1000 10
488 1000 30
489 1000 22
490 1000 14
491 1000 24
492 1000 16
493 1000 32
494 1000 43
495 1000 28
496 1000 7
497 1000 23
498 1000 20
499 1000 36
500 1000 49
501 1000 7
502 1000 6
503 1000 28
504 1000 42
505 1000 4
506 1000 28
507 1000 2
508 1000 39
509 1000 39
510 1000 5
511 1000 5
512 1000 8
513 1000 28
514 1000 17
515 1000 1
516 1000 8
517 1000 34
518 1000 19
519 1000 17
520 1000 3
521 1000 28
522 1000 9
523 1000 44
524 1000 32
525 1000 20
526 1000 21
527 1000 40
528 1000 48
529 1000 40
530 1000 8
531 1000 42
532 1000 46
533 1000 48
534 1000 44
535 1000 21
536 1000 44
537 1000 25
538 1000 16
539 1000 40
540 1000 38
541 1000 45
542 1000 5
543 1000 49
